Program Name,City,Country,Region,Cost
Absolute Internship,Multiple,Multiple,Multiple,
Absolute Internship (Virtual Program),Rochester,United States,North America,
Advanced Studies in England,Bath,United Kingdom,Europe,23950
AIT Budapest Program in Computer Science & Software Engineering,Budapest,Hungary,Europe,
American University in Cairo (Exchange),Cairo,Egypt,Africa,0
Ancient Rome in Context,Rome,Italy,Europe,
ASE SUMMER SCHOOL,Bath,United Kingdom,Europe,
Australian National University - ANU (Exchange),Canberra,Australia,Australia/Pacific Islands,
Birmingham City University (Exchange),Birmingham,United Kingdom,Europe,
Budapest Semesters in Mathematics,Budapest,Hungary,Europe,
Chinese University of Hong Kong (Exchange),Hong Kong,China,Asia,0
Chinese University of Hong Kong - International Summer School,Hong Kong,China,Asia,
"CIEE Business, Arts + Sciences in Prague, Czech Republic",Prague,Czech Republic,Europe,19950
"CIEE Central European Studies Program in Prague, Czech Republic",Prague,Czech Republic,Europe,19950
"CIEE Middle East Studies in Amman, Jordan",Amman,Jordan,Middle East,17950
"CIEE Russian Language + European Studies in Tallinn, Estonia",Tallinn,Estonia,Europe,14950
"CIEE Summer Central European Studies in Prague, Czech Republic",Prague,Czech Republic,Europe,
"CIEE Summer Global Internship in Amman, Jordan",Amman,Jordan,Middle East,
"CIEE Summer Global Internship Program in Prague, Czech Republic",Prague,Czech Republic,Europe,
"CIEE Summer Middle East Studies Program in Amman, Jordan",Amman,Jordan,Middle East,
CIS Abroad Semester in Barcelona - Universitat Autonoma de Barcelona,Barcelona,Spain,Europe,17590
City St. George's University of London,London,United Kingdom,Europe,13375
City University of Hong Kong (GE3 - Engineering),Hong Kong,China,Asia,
College Year in Athens - Semester and Academic Year Program,Athens,Greece,Europe,26500
College Year in Athens-Summer Program,Athens,Greece,Europe,
College Year in Athens-Summer Program,Copenhagen,Denmark,Europe,
College Year in Athens-Summer Program,Rome,Italy,Europe,
College Year in Athens-Summer Program,Stockholm,Sweden,Europe,
College Year in Athens-Summer Program,Thessaloniki,Greece,Europe,
Conversational Japanese in Tokyo,Tokyo,Japan,Asia,
"DIS - Study Abroad in Copenhagen, Denmark",Copenhagen,Denmark,Europe,30840
"DIS - Study Abroad in Stockholm, Sweden",Stockholm,Sweden,Europe,30840
DIS Copenhagen - Summer Courses,Copenhagen,Denmark,Europe,
DIS Stockholm - Summer Courses,Stockholm,Sweden,Europe,
DTU - Technical University of Denmark (GE3 - Engineering),Lyngby,Denmark,Europe,
ESM - Central Conservatory of Music,Beijing,China,Asia,
ESM - China Conservatory of Music,Beijing,China,Asia,
ESM - Conservatoire National Supérieur de Musique et de Danse de Paris,Paris,France,Europe,
ESM - Hochschule für Musik Freiburg,Freiburg,Germany,Europe,0
ESM - Hochschule für Musik Würzburg,Würzburg,Germany,Europe,
ESM - Mahidol College of Music,Bangkok,Thailand,Asia,
ESM - Royal Birmingham Conservatoire,Birmingham,United Kingdom,Europe,
